TOKEN_NAME           | TOKEN_CODE      | TOKEN_VALUE                    | TOKEN_LINE_NUMBER   
---------------------|-----------------|--------------------------------|---------------------
TOKEN_SINGLECOMMENT  | 39              | Valid identifiers:             | 0                   
TOKEN_ID             | 0               | _age                           | 1                   
TOKEN_ID             | 0               | height                         | 2                   
TOKEN_ID             | 0               | Name                           | 3                   
TOKEN_ID             | 0               | School                         | 4                   
TOKEN_ID             | 0               | calculate                      | 5                   
TOKEN_DATATYPE       | 32              | char                           | 6                   
TOKEN_ID             | 0               | favorite_letter                | 6                   
TOKEN_SINGLECOMMENT  | 39              | Invalid identifiers:           | 8                   
TOKEN_NUMBER         | 41              | 1                              | 9                   
TOKEN_ID             | 0               | name                           | 9                   
TOKEN_SINGLECOMMENT  | 39              | score                          | 10                  
TOKEN_NUMBER         | 41              | 9                              | 11                  
TOKEN_ID             | 0               | _age                           | 11                  
TOKEN_ID             | 0               | age                            | 12                  
TOKEN_OPERATOR       | 19              | %                              | 12                  
TOKEN_ID             | 0               | my                             | 13                  
TOKEN_ID             | 0               | name                           | 13                  
TOKEN_ID             | 0               | price                          | 14                  
TOKEN_SYMBOL         | 3               | @                              | 14                  
TOKEN_SINGLECOMMENT  | 39              | integer                        | 16                  
TOKEN_CONST          | 53              | const                          | 17                  
TOKEN_DATATYPE       | 32              | int                            | 17                  
TOKEN_ID             | 0               | x                              | 17                  
TOKEN_OPERATOR       | 19              | =                              | 17                  
TOKEN_NUMBER         | 41              | 10                             | 17                  
TOKEN_SEMI           | 4               | ;                              | 17                  
TOKEN_SINGLECOMMENT  | 39              | float                          | 19                  
TOKEN_CONST          | 53              | const                          | 20                  
TOKEN_DATATYPE       | 32              | float                          | 20                  
TOKEN_ID             | 0               | pi                             | 20                  
TOKEN_OPERATOR       | 19              | =                              | 20                  
TOKEN_NUMBER         | 41              | 3.14159                        | 20                  
TOKEN_SEMI           | 4               | ;                              | 20                  
TOKEN_SINGLECOMMENT  | 39              | boolean                        | 22                  
TOKEN_CONST          | 53              | const                          | 23                  
TOKEN_DATATYPE       | 32              | bool                           | 23                  
TOKEN_ID             | 0               | isActive                       | 23                  
TOKEN_OPERATOR       | 19              | =                              | 23                  
TOKEN_BOOL           | 38              | true                           | 23                  
TOKEN_SEMI           | 4               | ;                              | 23                  
TOKEN_SINGLECOMMENT  | 39              | char                           | 25                  
TOKEN_CONST          | 53              | const                          | 26                  
TOKEN_DATATYPE       | 32              | char                           | 26                  
TOKEN_ID             | 0               | grade                          | 26                  
TOKEN_OPERATOR       | 19              | =                              | 26                  
